Unit,Term,Alt,Definition
Unit 4,Positive Reinforcement,,Adding a good reinforcer for a behavior.
Unit 4,Negative Reinforcement,,Taking away a good reinforcer for a behavior.
Unit 4,Positive Punishment,,Adding a bad reinforcer for a behavior.
Unit 4,Negative Punishment,,
Unit 4,Fixed Schedule,,
Unit 4,Variable Schedule,,
Unit 4,Ratio Schedule,,
Unit 4,Interval Schedule,,Reinforcer occurs with a specific delay after the behavior.
Unit 4,Continuous Schedule,,Reinforcer each time a behavior occurs.
Unit 4,Partial Schedule,,
Unit 4,Shaping,,
Unit 4,Primary Reinforcer,,Unlearned reinforcers of biological importance. Ex. food.
Unit 4,Secondary Reinforcer,,A stimulus learned to be associated with a primary reinforcer. Ex. money.
Unit 4,Learned Helplessness,,
Unit 4,Cognitive Map,,
Unit 4,Latent Learning,,Learning not revealed until tested such as subcosciously remembering a maze.
Unit 4,Positive Transfer,,
Unit 4,Social Learning Theory,,Theory that learning occurs from observing and imitating others.
Unit 4,Observational Learning,,
Unit 4,Albert Vandura,,
Unit 4,Modeling,,
Unit 4,Mirror Neurons,,
Unit 4,Token Economy,,
Unit 4,Biofeedback,,
Unit 5,Levels of Processing,,
Unit 5,Parallel Processing,,"Your brain processing motion, shape, depth, and color all at once."
Unit 5,Multitasking,,
Unit 5,Encoding,,
Unit 5,Dual Encoding,,
Unit 5,Long-Term Potentiation,,
Unit 5,Mnemonic,,
Unit 5,Prspective Memory,,
Unit 5,Iconic Memory,,
Unit 5,Echonic Memory,,
Unit 5,Nondeclarative Memory,,implicit
Unit 5,Procedural Memory,,
Unit 5,Delclarative memory,,explicit
Unit 5,Semantic Memory,,
Unit 5,Episodic Memory,,
Unit 5,Flashbulb MEmory,,
Unit 5,State-Dependent Memory,,
Unit 5,Serial Position Effect,,
Unit 5,Spacing Effect,,
Unit 5,Self-reference Effect,,
Unit 5,Elizabeth Loftus,,
Unit 5,Hermann Ebbinghaus,,
Unit 5,Tip-of-the-toungue Phenomenon,,
Unit 5,Encoding Failure,,
Unit 5,Short Term Memory Decay,,
Unit 5,Misattribution,,
Unit 5,Repression,,
Unit 5,Retrograde Amnesia,,
Unit 5,Anterograde Amnesia,,
Unit 5,Proactive Interference,,
Unit 5,Retroactive Interference,,
Unit 5,Priming,,
Unit 5,Prototype,,
Unit 5,Divergent Thinking,,
Unit 5,Convergent Thinking,,
Unit 5,Fixation,,
Unit 5,Deductive Resoning,,
Unit 5,Inductive Reasoning,,
Unit 5,Insight,,
Unit 5,Algorithm,,
Unit 5,Heurisitcs,,Mental shortcuts taken to quickly make decisions or solve problems with relative accuracy.
Unit 5,Anchoring Heurisitc,,Heuristic. You judge everything relative to the first instance you saw.
Unit 5,Representativeness Heuristic,,Heuristic. Judging based on the prototypical case.
Unit 5,Availability Heurisitc,,Heuristic. Believing something is more common based on how easily it comes to mind.
Unit 5,Confirmation Bias,,
Unit 5,Hindsight Bias,,The tendence to believe after knowing the outcome that it would have been easy to foresee it.
Unit 5,Self-Serving Bias,,
Unit 5,Belief Perseverance,,
Unit 5,Framing Effect,,
Unit 5,Overconfidence,,
Unit 5,Raymond Cattel,,
Unit 5,g Factor,,
Unit 5,Triarchic Theory of Intelligence,,"Practical, creative, and practical intelligence."
Unit 5,Lingusitc Intelligence,,
Unit 5,Spatial Intelligence,,
Unit 5,Interpersonal Intellience,,
Unit 5,Intrapersonal Intelligence,,
Unit 5,Savant Syndrome,,
Unit 5,Giftedness,,
Unit 5,Multiple Intelligence,,
Unit 5,Intelligence Quotient,,
Unit 5,Emotional Intelligence,,
Unit 5,Flynn Effect,,
Unit 5,Achievement Test,,
Unit 5,Aptitude Test,,
Unit 5,Standardization,,
Unit 5,Reliability,,
Unit 5,Validitity,,
Unit 5,Noam Chomsky,,
Unit 5,Benjamin Whorf,,
Unit 5,Surface Structure,,
Unit 5,Deep Structure,,
Unit 5,Phonemes,,"A unique unit of sound. Ex. the ""ba"" sound."
Unit 5,Morphemes,,"The smallest unit of language that carries meaning. Ex. the prefix ""un""."
Unit 5,Syntax,,How language is structured; grammar.
Unit 5,Semantics,,Meaning carried by language.
