Chapter,Term,Definition,
Unit 1 - Scientific Foundations of Psychology,Hindsight bias; I-knew-it-all-along phenomenon,"The tendency to believe, after learning an outcome, that one would have foreseen it.",
Unit 1 - Scientific Foundations of Psychology,Critical thinking,"Thinking that does not blindly accept arguments and conclusions. Rather, it examines assumptions, appraises the source, discerns hidden values, evaluates evidence, and assesses conclusions.",
Unit 1 - Scientific Foundations of Psychology,Theory,An explanation using an integrated set of principles that organizes observations and predicts behaviors or events.,
Unit 1 - Scientific Foundations of Psychology,Hypothesis,"A testable prediction, often implied by a theory.",
Unit 1 - Scientific Foundations of Psychology,Operational definition,"A carefully worded statement of the exact procedures (operations) used in a research study. For example, human intelligence may be operationally defined as what an intelligence test measures.",
Unit 1 - Scientific Foundations of Psychology,Replication,"Aepeating the essence of a research study, usually with different participants in different situations, to see whether the basic finding extends to other participants and circumstances.",
Unit 1 - Scientific Foundations of Psychology,Case study,A descriptive technique in which one individual or group is studied in depth in the hope of revealing universal principles.,
Unit 1 - Scientific Foundations of Psychology,Naturalistic observation,A descriptive technique of observing and recording behavior in naturally occurring situations without trying to manipulate and control the situation.,
Unit 1 - Scientific Foundations of Psychology,Survey,"a descriptive technique for obtaining the self-reported attitudes or behaviors of a particular group, usually by questioning a representative, random sample of the group.",
Unit 1 - Scientific Foundations of Psychology,Population,"All those in a group being studied, from which samples may be drawn. (Note: Except for national studies, this does not refer to a country’s whole population.)",
Unit 1 - Scientific Foundations of Psychology,Random sample,A sample that fairly represents a population because each member has an equal chance of inclusion.,
Unit 1 - Scientific Foundations of Psychology,Correlation,"A measure of the extent to which two factors vary together, and thus of how well either factor predicts the other.",
Unit 1 - Scientific Foundations of Psychology,Correlation coefficient,A statistical index of the relationship between two things (from -1.00 to +1.00).,
Unit 1 - Scientific Foundations of Psychology,Scatterplot,"A graphed cluster of dots, each of which represents the values of two variables. The slope of the points suggests the direction of the relationship between the two variables. The amount of scatter suggests the strength of the correlation (little scatter indicates high correlation).",
Unit 1 - Scientific Foundations of Psychology,Regression toward the mean; regression,The tendency for extreme or unusual scores or events to fall back (regress) toward the average.,
Unit 1 - Scientific Foundations of Psychology,Experiment,"A research method in which an investigator manipulates one or more factors (independent variables) to observe the effect on some behavior or mental process (the dependent variable). By random assignment of participants, the experimenter aims to control other relevant factors.",
Unit 1 - Scientific Foundations of Psychology,Experimental group,"In an experiment, the group exposed to the treatment, that is, to one version of the independent variable.",
Unit 1 - Scientific Foundations of Psychology,Control group,"In an experiment, the group not exposed to the treatment; contrasts with the experimental group and serves as a comparison for evaluating the effect of the treatment.",
Unit 1 - Scientific Foundations of Psychology,Random assignment,"Assigning participants to experimental and control groups by chance, thus minimizing preexisting differences between the different groups.",
Unit 1 - Scientific Foundations of Psychology,Double-blind procedure; double-blind,An experimental procedure in which both the research participants and the research staff are ignorant (blind) about whether the research participants have received the treatment or a placebo. Commonly used in drug-evaluation studies.,
Unit 1 - Scientific Foundations of Psychology,Placebo effect; placebo,"Experimental results caused by expectations alone; any effect on behavior caused by the administration of an inert substance or condition, which the recipient assumes is an active agent.",
Unit 1 - Scientific Foundations of Psychology,Independent variable; independent; IV,"In an experiment, the factor that is manipulated; the variable whose effect is being studied.",
Unit 1 - Scientific Foundations of Psychology,Confounding variable; confounding; CV,"In an experiment, a factor other than the independent variable that might produce an effect.",
Unit 1 - Scientific Foundations of Psychology,Dependent variable; dependent; DV,"In an experiment, the outcome that is measured; the variable that may change when the independent variable is manipulated.",
Unit 1 - Scientific Foundations of Psychology,Informed consent,Giving potential participants enough information about a study to enable them to choose whether they wish to participate.,
Unit 1 - Scientific Foundations of Psychology,Debriefing,"The postexperimental explanation of a study, including its purpose and any deceptions, to its participants.",
Unit 1 - Scientific Foundations of Psychology,Mode,the most frequently occurring score(s) in a distribution.,
Unit 1 - Scientific Foundations of Psychology,Mean,"The arithmetic average of a distribution, obtained by adding the scores and then dividing by the number of scores.",
Unit 1 - Scientific Foundations of Psychology,Median,The middle score in a distribution; half the scores are above it and half are below it.,
Unit 1 - Scientific Foundations of Psychology,Range,The difference between the highest and lowest scores in a distribution.,
Unit 1 - Scientific Foundations of Psychology,Standard deviation,A computed measure of how much scores vary around the mean score.,
Unit 1 - Scientific Foundations of Psychology,Normal curve,"A symmetrical, bell-shaped curve that describes the distribution of many types of data; most scores fall near the mean (about 68 percent fall within one standard deviation of it) and fewer and fewer near the extremes.",
Unit 1 - Scientific Foundations of Psychology,Statistical significance,A statistical statement of how likely it is that an obtained result occurred by chance. 95% certainty or p < 0.05.,
Unit 2 - Biological Bases of Behavior,Biological perspective; biological,"Concerned with the links between biology and behavior. Includes psychologists working in neuroscience, behavior genetics, and evolutionary psychology. These researchers may call themselves behavioral neuroscientists, neuropsychologists, behavior geneticists, physiological psychologists, or biopsychologists.",
Unit 2 - Biological Bases of Behavior,Neuron,A nerve cell; the basic building block of the nervous system.,
Unit 2 - Biological Bases of Behavior,Soma; cell body,"Main part of neuron cell with nucleus inside, dendrites sticking out, and axon attached.",
Unit 2 - Biological Bases of Behavior,Dendrites,"A neuron’s bushy, branching extensions that receive messages and conduct impulses toward the cell body.",
Unit 2 - Biological Bases of Behavior,Axon,The neuron extension that passes messages through its branches to other neurons or to muscles or glands.,
Unit 2 - Biological Bases of Behavior,Axon hillock,Part of cell body. Initiates electrical signal along axon.,
Unit 2 - Biological Bases of Behavior,Myelin sheath,A fatty tissue layer segmentally encasing the axons of some neurons; enables vastly greater transmission speed as neural impulses hop from one node to the next.,
Unit 2 - Biological Bases of Behavior,Nodes of Raniver,"Uninsulated gaps along the axon not covered by the myelin sheath. Allows electrical signals to ""hop"" from one node to the next.",
Unit 2 - Biological Bases of Behavior,Glial cells,"Cells in the nervous system that support, nourish, and protect neurons; they may also play a role in learning, thinking, and memory.",
Unit 2 - Biological Bases of Behavior,Resting potential,Charge of neuron when ready to fire. Around -70uV.,
Unit 2 - Biological Bases of Behavior,Action potential,Peak charge when fired OR a neural impulse; a brief electrical charge that travels down an axon.,
Unit 2 - Biological Bases of Behavior,Refactory period,A period of inactivity after a neuron has fired.,
Unit 2 - Biological Bases of Behavior,Threshold,The level of stimulation required to trigger a neural impulse.,
Unit 2 - Biological Bases of Behavior,Depolarization,"Neuron fires an impulse once it meets the threshold, rapidly losing charge.",
Unit 2 - Biological Bases of Behavior,Repolarization,Period after firing where neuron recharges.,
Unit 2 - Biological Bases of Behavior,Hyperpolarization,Period after repolarization where charge is greater than normal resting potential.,
Unit 2 - Biological Bases of Behavior,All-or-none response; all-or-none,A neuron’s reaction of either firing (with a full-strength response) or not firing.,
Unit 2 - Biological Bases of Behavior,Synapse,The junction between the axon tip of the sending neuron and the dendrite or cell body of the receiving neuron. The tiny gap at this junction is called the synaptic gap or synaptic cleft.,
Unit 2 - Biological Bases of Behavior,Neurotransmitters,"Chemical messengers that cross the synaptic gaps between neurons. When released by the sending neuron, neurotransmitters travel across the synapse and bind to receptor sites on the receiving neuron, thereby influencing whether that neuron will generate a neural impulse.",
Unit 2 - Biological Bases of Behavior,Reuptake,A neurotransmitter’s reabsorption by the sending neuron.,
Unit 2 - Biological Bases of Behavior,Excitatory neurotransmitter; excitatory,Chemical secreted at terminal button that causes the receiveing neuron to fire. Foot on the gas.,
Unit 2 - Biological Bases of Behavior,Inhibitory neurotransmitter; inhibatory,Chemical secreted at terminal button that causes reduces or prevents impulses in the receiving neuron. Foot on the brakes.,
Unit 2 - Biological Bases of Behavior,Acetylcholine; ACh,"A neurotransmitter. Responsible for voluntary muscle movement, learning, memory, and sleep.",
Unit 2 - Biological Bases of Behavior,Dopamine,"A neurotransmitter. Associated with movement, attention, alertness, and reward. Related to addictions.",
Unit 2 - Biological Bases of Behavior,GABA; gamma-aminobutyricacid,An inhibitory neurotransmitter helping you calm down.,
Unit 2 - Biological Bases of Behavior,Endorphins,A neurotransmitter. Pain and stress relief.,
Unit 2 - Biological Bases of Behavior,Seratonin,"A neurotransmitter. Mood, appetite, and hunger regulation.",
Unit 2 - Biological Bases of Behavior,Epinephrine; norepinephrine,"A neurotransmitter. Also known as adrenaline/noradrenaline. Responsible for flight-or-flight response, alertness, arousal.",
Unit 2 - Biological Bases of Behavior,Oxytocin,A neurotransmitter. Bonding and relationships.,
Unit 2 - Biological Bases of Behavior,Agonist,A molecule that increases a neurotransmitter’s action.,
Unit 2 - Biological Bases of Behavior,Antagonist,A molecule that inhibits or blocks a neurotransmitter’s action.,
Unit 2 - Biological Bases of Behavior,Nervous system,"The body’s speedy, electrochemical communication network, consisting of all the nerve cells of the peripheral and central nervous systems.",
Unit 2 - Biological Bases of Behavior,Central nervous system; CNS,The brain and spinal cord.,
Unit 2 - Biological Bases of Behavior,Peripheral nervous system; PNS,The sensory and motor neurons that connect the central nervous system (CNS) to the rest of the body.,
Unit 2 - Biological Bases of Behavior,Nerves,"Bundled axons that form neural cables connecting the central nervous system with muscles, glands, and sense organs.",
Unit 2 - Biological Bases of Behavior,Sensory neurons; afferent,Neurons that carry incoming information from the sensory receptors to the brain and spinal cord.,
Unit 2 - Biological Bases of Behavior,Motor neurons; efferent,Neurons that carry outgoing information from the brain and spinal cord to the muscles and glands.,
Unit 2 - Biological Bases of Behavior,Interneurons,Neurons within the brain and spinal cord; communicate internally and process information between the sensory inputs and motor outputs.,
Unit 2 - Biological Bases of Behavior,Somatic nervous system; somatic,The division of the peripheral nervous system that controls the body’s skeletal muscles. Also called the skeletal nervous system.,
Unit 2 - Biological Bases of Behavior,Autonomic nervous system; ANS,The part of the peripheral nervous system that controls the glands and the muscles of the internal organs (such as the heart). Its sympathetic division arouses; its parasympathetic division calms.,
Unit 2 - Biological Bases of Behavior,Sympathetic nervous system; SNS,"The division of the autonomic nervous system that arouses the body, mobilizing its energy.",
Unit 2 - Biological Bases of Behavior,Parasympathetic nervous system; PNS,"The division of the autonomic nervous system that calms the body, conserving its energy.",
Unit 2 - Biological Bases of Behavior,Reflex,"A simple, automatic response to a sensory stimulus, such as the knee-jerk response.",
Unit 2 - Biological Bases of Behavior,Endocrine system; endocrine,The body’s “slow” chemical communication system; a set of glands that secrete hormones into the bloodstream.,
Unit 2 - Biological Bases of Behavior,Hormones,"Chemical messengers that are manufactured by the endocrine glands, travel through the bloodstream, and affect other tissues",
Unit 2 - Biological Bases of Behavior,Adrenal glands; adrenal,A pair of endocrine glands that sit just above the kidneys and secrete hormones (epinephrine and norepinephrine) that help arouse the body in times of stress.,
Unit 2 - Biological Bases of Behavior,Pituitary gland; pituitary,"The endocrine system’s most influential gland. Under the influence of the hypothalamus, the pituitary regulates growth and controls other endocrine glands.",
Unit 2 - Biological Bases of Behavior,Thyroid gland; thyroid,"A butterfly-shaped organ located in the base of your neck. It releases hormones that control metabolism—the way your body uses energy. The its hormones regulate vital body functions, including breathing and heart rate.",
Unit 2 - Biological Bases of Behavior,Pineal gland,In center of the brain. Regulates daylight cycle releasing melatonin.,
Unit 2 - Biological Bases of Behavior,Lesion,Tissue destruction. A brain lesion is a naturally or experimentally caused destruction of brain tissue.,
Unit 2 - Biological Bases of Behavior,Electroencephalogram; EEG,An amplified recording of the waves of electrical activity sweeping across the brain’s surface. These waves are measured by electrodes placed on the scalp.,
Unit 2 - Biological Bases of Behavior,Positron Emission Tomography scan; PET,A visual display of brain activity that detects where a radioactive form of glucose goes while the brain performs a given task.,
Unit 2 - Biological Bases of Behavior,Magnetic resonance imaging; MRI,A technique that uses magnetic fields and radio waves to produce computer generated images of soft tissue. MRI scans show brain anatomy,
Unit 2 - Biological Bases of Behavior,Functional MRI; fMRI,"A technique for revealing bloodflow and, therefore, brain activity by comparing successive MRI scans. fMRI scans show brain function as well as structure.",
Unit 2 - Biological Bases of Behavior,Brainstem,"The oldest part and central core of the brain, beginning where the spinal cord swells as it enters the skull; the brainstem is responsible for automatic survival functions.",
Unit 2 - Biological Bases of Behavior,Medulla,The base of the brainstem; controls heartbeat and breathing.,
Unit 2 - Biological Bases of Behavior,Thalamus,"The brain’s sensory control center, located on top of the brainstem; it directs messages to the sensory receiving areas in the cortex and transmits replies to the cerebellum and medulla.",
Unit 2 - Biological Bases of Behavior,Reticular formation; reticular,A nerve network that travels through the brainstem into the thalamus and plays an important role in controlling arousal.,
Unit 2 - Biological Bases of Behavior,Cerebellum,"The “little brain” at the rear of the brainstem; functions include processing sensory input, coordinating movement output and balance, and enabling nonverbal learning and memory.",
Unit 2 - Biological Bases of Behavior,Limbic system; limbic,"Neural system (including the hippocampus, amygdala, and hypothalamus) located below the cerebral hemispheres; associated with emotions and drives.",
Unit 2 - Biological Bases of Behavior,Hippocampus,A neural center located in the limbic system; helps process explicit memories for storage.,
Unit 2 - Biological Bases of Behavior,Amygdala,Two limabean-sized neural clusters in the limbic system; linked to emotion.,
Unit 2 - Biological Bases of Behavior,Hypothalamus,"The neural structure lying below (hypo) the thalamus; it directs several maintenance activities (eating, drinking, body temperature), helps govern the endocrine system via the pituitary gland, and is linked to emotion and reward.",
Unit 2 - Biological Bases of Behavior,Cerebral cortex,The intricate fabric of interconnected neural cells covering the cerebral hemispheres; the body’s ultimate control and information-processing center.,
Unit 2 - Biological Bases of Behavior,Frontal lobes; frontal,Portion of the cerebral cortex lying just behind the forehead; involved in speaking and muscle movements and in making plans and judgments.,
Unit 2 - Biological Bases of Behavior,Parietal lobes; parietal,Portion of the cerebral cortex lying at the top of the head and toward the rear; receives sensory input for touch and body position.,
Unit 2 - Biological Bases of Behavior,Occipital lobes; occipital,Portion of the cerebral cortex lying at the back of the head; includes areas that receive information from the visual fields,
Unit 2 - Biological Bases of Behavior,Temporal lobes; temporal,"Portion of the cerebral cortex lying roughly above the ears; includes the auditory areas, each receiving information primarily from the opposite ear.",
Unit 2 - Biological Bases of Behavior,Motor cortex; motor,An area at the rear of the frontal lobes that controls voluntary movements.,
Unit 2 - Biological Bases of Behavior,Somatosensory cortex; somatosensory,Area at the front of the parietal lobes that registers and processes body touch and movement sensations.,
Unit 2 - Biological Bases of Behavior,Association areas,"Areas of the cerebral cortex that are not involved in primary motor or sensory functions; rather, they are involved in higher mental functions such as learning, remembering, thinking, and speaking.",
Unit 2 - Biological Bases of Behavior,Plasticity,"The brain’s ability to change, especially during childhood, by reorganizing after damage or by building new pathways based on experience.",
Unit 2 - Biological Bases of Behavior,Neurogenesis,The formation of new neurons.,
Unit 2 - Biological Bases of Behavior,Corpus callosum,The large band of neural fibers connecting the two brain hemispheres and carrying messages between them.,
Unit 2 - Biological Bases of Behavior,Split brain,A condition resulting from surgery that isolates the brain’s two hemispheres by cutting the fibers (mainly those of the corpus callosum) connecting them.,
Unit 2 - Biological Bases of Behavior,Consciousness,Our awareness of ourselves and our environment.,
Unit 2 - Biological Bases of Behavior,Cognitive neuroscience,"The interdisciplinary study of the brain activity linked with cognition (including perception, thinking, memory, and language).",
Unit 2 - Biological Bases of Behavior,Dual processing; dual,The principle that information is often simultaneously processed on separate conscious and unconscious tracks.,
Unit 2 - Biological Bases of Behavior,Blindsight,A condition in which a person can respond to a visual stimulus without consciously experiencing it.,
Unit 2 - Biological Bases of Behavior,Parallel Processing; parallel,The processing of many aspects of a problem simultaneously; the brain’s natural mode of information processing for many functions.,
Unit 2 - Biological Bases of Behavior,Selective attention,The focusing of conscious awareness on a particular stimulus.,
Unit 2 - Biological Bases of Behavior,Inattentional blindness,Failing to see visible objects when our attention is directed elsewhere.,
Unit 2 - Biological Bases of Behavior,Change blindness,Failing to notice changes in the environment.,
Unit 2 - Biological Bases of Behavior,Sleep,"Periodic, natural loss of consciousness—as distinct from unconsciousness resulting from a coma, general anesthesia, or hibernation. (Adapted from Dement, 1999.)",
Unit 2 - Biological Bases of Behavior,Circadian rhythm; circadian,"The biological clock; regular bodily rhythms (for example, of temperature and wakefulness) that occur on a 24-hour cycle.",
Unit 2 - Biological Bases of Behavior,REM sleep; REM,"Rapid eye movement sleep; a recurring sleep stage during which vivid dreams commonly occur. Also known as paradoxical sleep, because the muscles are relaxed (except for minor twitches) but other body systems are active.",
Unit 2 - Biological Bases of Behavior,Alpha waves; alpha,"The relatively slow brain waves of a relaxed, awake state.",
Unit 2 - Biological Bases of Behavior,Hallucinations,"False sensory experiences, such as seeing something in the absence of an external visual stimulus.",
Unit 2 - Biological Bases of Behavior,Delta waves; delta,"The large, slow brain waves associated with deep sleep.",
Unit 2 - Biological Bases of Behavior,Suprachiasmatic nucleus; SCN,"A pair of cell clusters in the hypothalamus that controls circadian rhythm. In response to light, the SCN causes the pineal gland to adjust melatonin production, thus modifying our feelings of sleepiness.",
Unit 2 - Biological Bases of Behavior,Insomnia,Recurring problems in falling or staying asleep,
Unit 2 - Biological Bases of Behavior,Narcolepsy,"A sleep disorder characterized by uncontrollable sleep attacks. The sufferer may lapse directly into REM sleep, often at inopportune times.",
Unit 2 - Biological Bases of Behavior,Sleep apnea; apnea,A sleep disorder characterized by temporary cessations of breathing during sleep and repeated momentary awakenings.,
Unit 2 - Biological Bases of Behavior,Night terrors,"A sleep disorder characterized by high arousal and an appearance of being terrified; unlike nightmares, night terrors occur during NREM-3 sleep, within two or three hours of falling asleep, and are seldom remembered.",
Unit 2 - Biological Bases of Behavior,Dream,"A sequence of images, emotions, and thoughts passing through a sleeping person’s mind. Dreams are notable for their hallucinatory imagery, discontinuities and incongruities, and for the dreamer’s delusional acceptance of the content and later difficulties remembering it.",
Unit 2 - Biological Bases of Behavior,Manifest content; manifest,"According to Freud, the remembered story line of a dream (as distinct from its latent, or hidden, content).",
Unit 2 - Biological Bases of Behavior,Latent content; latent,"According to Freud, the underlying meaning of a dream (as distinct from its manifest content).",
Unit 2 - Biological Bases of Behavior,REM rebound; rebound,The tendency for REM sleep to increase following REM sleep deprivation (created by repeated awakenings during REM sleep).,
Unit 2 - Biological Bases of Behavior,Substance use disorder,Continued substance craving and use despite significant life disruption and/or physical risk.,
Unit 2 - Biological Bases of Behavior,Psychoactive drug; psychoactive,A chemical substance that alters perceptions and moods.,
Unit 2 - Biological Bases of Behavior,Tolerance,"The diminishing effect with regular use of the same dose of a drug, requiring the user to take larger and larger doses before experiencing the drug’s effect.",
Unit 2 - Biological Bases of Behavior,Addiction,Compulsive craving of drugs or certain behaviors (such as gambling) despite known adverse consequences.,
Unit 2 - Biological Bases of Behavior,Withdrawal,The discomfort and distress that follow discontinuing an addictive drug or behavior.,
Unit 2 - Biological Bases of Behavior,Depressants,"Drugs (such as alcohol, barbiturates, and opiates) that reduce neural activity and slow body functions.",
Unit 2 - Biological Bases of Behavior,Alcohol use disorder,"Popularly known as alcoholism. Alcohol use marked by tolerance, withdrawal, and a drive to continue problematic use.",
Unit 2 - Biological Bases of Behavior,Barbiturates,"Drugs that depress central nervous system activity, reducing anxiety but impairing memory and judgment.",
Unit 2 - Biological Bases of Behavior,Opiates,"Opium and its derivatives, such as morphine and heroin; depress neural activity, temporarily lessening pain and anxiety.",
Unit 2 - Biological Bases of Behavior,Stimulants,"Drugs (such as caffeine, nicotine, and the more powerful amphetamines, cocaine, Ecstasy, and methamphetamine) that excite neural activity and speed up body functions.",
Unit 2 - Biological Bases of Behavior,Amphetamines,"Drugs that stimulate neural activity, causing speeded-up body functions and associated energy and mood changes.",
Unit 2 - Biological Bases of Behavior,Nicotine,A stimulating and highly addictive psychoactive drug in tobacco.,
Unit 2 - Biological Bases of Behavior,Cocaine,A powerful and addictive stimulant derived from the coca plant; produces temporarily increased alertness and euphoria.,
Unit 2 - Biological Bases of Behavior,Methamphetamine,"A powerfully addictive drug that stimulates the central nervous system, with speeded-up body functions and associated energy and mood changes; over time, appears to reduce baseline dopamine levels.",
Unit 2 - Biological Bases of Behavior,Ecstacy; MDMA,"A synthetic stimulant and mild hallucinogen. Produces euphoria and social intimacy, but with short-term health risks and longer-term harm to serotonin-producing neurons and to mood and cognition.",
Unit 2 - Biological Bases of Behavior,Hallucinogens,"Psychedelic (“mindmanifesting”) drugs, such as LSD, that distort perceptions and evoke sensory images in the absence of sensory input.",
Unit 2 - Biological Bases of Behavior,Near-death experience,An altered state of consciousness reported after a close brush with death (such as through cardiac arrest); often similar to druginduced hallucinations,
Unit 2 - Biological Bases of Behavior,LSD,A powerful hallucinogenic drug; also known as acid (lysergic acid diethylamide).,
Unit 2 - Biological Bases of Behavior,THC,"The major active ingredient in marijuana; triggers a variety of effects, including mild hallucinations.",
Unit 2 - Biological Bases of Behavior,Behavior genetics,The study of the relative power and limits of genetic and environmental influences on behavior.,
Unit 2 - Biological Bases of Behavior,Environment,"Every nongenetic influence, from prenatal nutrition to the people and things around us.",
Unit 2 - Biological Bases of Behavior,Chromosomes,Threadlike structures made of DNA molecules that contain the genes.,
Unit 2 - Biological Bases of Behavior,Deoxyribonucleic acid; DNA,A complex molecule containing the genetic information that makes up the chromosomes.,
Unit 2 - Biological Bases of Behavior,Genes,The biochemical units of heredity that make up the chromosomes; segments of DNA capable of synthesizing proteins.,
Unit 2 - Biological Bases of Behavior,Genome,"The complete instructions for making an organism, consisting of all the genetic material in that organism’s chromosomes.",
Unit 2 - Biological Bases of Behavior,Identical twins; monozygotic; identical,"Develop from a single fertilized egg that splits in two, creating two genetically identical organisms.",
Unit 2 - Biological Bases of Behavior,Fraternal twins; dizygotic; fraternal,"Develop from separate fertilized eggs. They are genetically no closer than ordinary brothers and sisters, but they share a prenatal environment.",
Unit 2 - Biological Bases of Behavior,Temperament,A person’s characteristic emotional reactivity and intensity.,
Unit 2 - Biological Bases of Behavior,Heritability,"The proportion of variation among individuals that we can attribute to genes. The heritability of a trait may vary, depending on the range of populations and environments studied.",
Unit 2 - Biological Bases of Behavior,Molecular genetics,The subfield of biology that studies the molecular structure and function of genes.,
Unit 2 - Biological Bases of Behavior,Molecular behavior genetics,The study of how the structure and function of genes interact with our environment to influence behavior.,
Unit 2 - Biological Bases of Behavior,Epigenetics,The study of environmental influences on gene expression that occur without a DNA change.,
Unit 2 - Biological Bases of Behavior,Evolutionary psychology; evolutionary,"The study of the evolution of behavior and the mind, using principles of natural selection.",
Unit 2 - Biological Bases of Behavior,Natural selection,"The principle that, among the range of inherited trait variations, those contributing to reproduction and survival will most likely be passed on to succeeding generations.",
Unit 2 - Biological Bases of Behavior,Mutation,A random error in gene replication that leads to a change.,
Unit 2 - Biological Bases of Behavior,Social script,Culturally modeled guide for how to act in various situations.,
Unit 2 - Biological Bases of Behavior,Interaction,The interplay that occurs when the effect of one factor (such as environment) depends on another factor (such as heredity).,
Unit 2 - Biological Bases of Behavior,Culture,"The enduring behaviors, ideas, attitudes, values, and traditions shared by a group of people and transmitted from one generation to the next.",
Unit 2 - Biological Bases of Behavior,Norm,An understood rule for accepted and expected behavior. Norms prescribe “proper” behavior.,
