Unit,Category,Term,Definition
,Prelude: An Introduction to Modern World History,Maya,"Ancient civilization that flourished in Mesoamerica from about 2000 BCE to 1500 CE, known for its remarkable achievements in writing, mathematics, astronomy, and art."
,Prelude: An Introduction to Modern World History,Mesoamerica,"An ancient region in Central America where many civilizations such as the Mayans and Aztecs thrived, known for its impressive architecture and cultural achievements."
,Prelude: An Introduction to Modern World History,Mesopotamia,"A region in Western Asia known for being the birthplace of writing, civilization, and many ancient civilizations like Sumer, Babylon, and Assyria. It was located between the Tigris and Euphrates rivers."
,Prelude: An Introduction to Modern World History,Moche,"A pre-Columbian society that thrived in ancient Peru from approximately 100 to 800 CE, is known for its intricate pottery and impressive architectural structures."
,Prelude: An Introduction to Modern World History,Monotheism,"Religion centered on one God, as opposed to polytheistic beliefs that worship multiple gods."
,Prelude: An Introduction to Modern World History,Monsoon system,"Seasonal winds that blow from west-to-east across India, bringing heavy rainfall during certain times of the year and affecting agricultural practices."
,Prelude: An Introduction to Modern World History,Nestorian,"A Christian sect that emerged in the 4th century, following a distinct interpretation of Jesus' teachings and practices. They believed in the concept of three natures of Christ - divine, human, and Holy Spirit. The term originates from their practice of using a special type of cross during worship."
,Prelude: An Introduction to Modern World History,Nile River,"A long river in Africa that flows through multiple countries, providing water and transportation for people living along its banks."
,Prelude: An Introduction to Modern World History,Nubia,"A region of ancient Egypt located south of Sudan, known for its distinct culture and history."
,Prelude: An Introduction to Modern World History,Olmecs,"Ancient civilization of Mesoamerica known for their colossal stone heads, agriculture, and trade networks."
,Prelude: An Introduction to Modern World History,Paterfamilias,"A title given by Roman patricians to their father, indicating respect and recognition of his status as a leader within the family and society."
,Prelude: An Introduction to Modern World History,Patrician,"A person or group of people who are well-educated, influential, and hold positions of power in ancient Rome."
,Prelude: An Introduction to Modern World History,Paul of Tarsus,"Apostle, disciple of Jesus, brought Christianity to Jerusalem in the 1st century."
,Prelude: An Introduction to Modern World History,Popl Vuh,"An ancient Mayan book of myths, rituals and history. It contains stories about Kukulkan, the god of creation."
,Prelude: An Introduction to Modern World History,Roman Empire,"The ancient civilization that spanned from 27 BC to 476 AD, known for its expansive territory, advanced infrastructure, and influential culture."
,Prelude: An Introduction to Modern World History,Sasanians,"A group of people who ruled Iran from 224 to 651 AD, leaving behind impressive architecture and art."
,Prelude: An Introduction to Modern World History,Shang dynasty,"A prehistoric Chinese dynasty that ruled from 1600 BCE to 1046 BCE, characterized by oracle bone inscriptions and bronze artifacts."
,Prelude: An Introduction to Modern World History,Shudras,"The social class in Hindu society, historically subjected to manual labor, serving as a support system for higher castes and contributing to their societal functioning."
,Prelude: An Introduction to Modern World History,Siddhartha Gautama,"The founder of Buddhism, and is also known as Buddha, which means awakened one."
,Prelude: An Introduction to Modern World History,Silk Roads,"A series of trade routes connecting Asia, Europe, and Africa during ancient times. It facilitated the exchange of goods, ideas, and culture between different civilizations along its path."
,Prelude: An Introduction to Modern World History,Sinicization,"The process by which China dominated its surrounding regions, adopting and promoting Chinese culture while suppressing others."
,Prelude: An Introduction to Modern World History,Teotihuacan,"An ancient city located in what is now Mexico and known for its impressive pyramids, temples, and urban planning. It was one of the largest cities in the world during its peak, but its decline remains a mystery to this day."
,Prelude: An Introduction to Modern World History,Tikal,"A Mesoamerican city that thrived from 250 to 900 AD and was known for its impressive architecture, art, and cultural achievements. It is considered one of the most important archaeological sites in the world."
,Prelude: An Introduction to Modern World History,Untouchables,Were at the bottom of the caste system. Handled the flesh or skin of dead animals.
,Prelude: An Introduction to Modern World History,Vaishyas,"Third in Varna hierarchy. A group of people who were involved in agricultural activities, including growing crops and trading their produce in the ancient world."
,Prelude: An Introduction to Modern World History,Varnas,"Social classes in Hinduism that were based on wealth, occupation, and ancestry."
,Prelude: An Introduction to Modern World History,Vishnu,"An ancient Hindu deity known as one of the preservers of the universe, representing strength and protection."
,Prelude: An Introduction to Modern World History,Warring States period,"A period in ancient China from 475 BC to 221 BC when various states were constantly at war with each other and competed for power, leading to political instability."
,Prelude: An Introduction to Modern World History,Xia dynasty,"The Xia Dynasty was one of the first recorded dynasties of ancient China, lasting from about 2097 BCE to 1616 BCE and known for its significant contributions to Chinese civilization."
,Prelude: An Introduction to Modern World History,Yangzi,"One of the two major rivers in China, running through the central and eastern parts of the country. It plays an important role in Chinese culture, history, and economy."
,Prelude: An Introduction to Modern World History,Yellow river,"One of the longest rivers in the world, flowing through northern China, and it is an important waterway for transportation."
,Prelude: An Introduction to Modern World History,Zhou dynasty,"A period of time when China was ruled by emperors who held absolute power, lasting from 1046 BC until 3rd century AD."
,Prelude: An Introduction to Modern World History,Ziggurats,"Structures built by ancient Mesopotamians that served as religious temples and also provided space for administrative, educational, and judicial purposes."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Buddhism,"A religion that emphasizes the practice of meditation, mindfulness, and compassion, with its roots dating back to ancient India. It is based on the teachings of Buddha, who sought enlightenment and taught about the Four Noble Truths and the Eightfold Path."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Chan Buddhism,A form of Mahayana Buddhism that emphasizes direct experience through meditation.
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Confucianism,"An ancient form of Chinese philosophy which emphasized moral righteousness, respect for authority, and social order through strict rules and regulations."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Daoism,"An ancient Chinese philosophical and religious tradition that emphasizes harmony with nature, simplicity, and living in the present moment. It believes in the balance of yin and yang and seeks to achieve spiritual enlightenment through practices such as meditation, Tai Chi, and Feng Shui. Also influenced art, literature, and medicine in China."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Dunhuang,"A Chinese city located at the intersection of two major trade routes, known for its historical and archaeological sites such as monasteries, tombs, and murals. It was an important trading hub during the Tang Dynasty, but also experienced periods of conflict and conquest by various neighboring empires. Today, it remains a significant cultural and tourist destination in China."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Foot binding,"An ancient Chinese practice where young girls' feet were bound tightly to prevent them from growing, causing extreme pain and deformity."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Grand Canal,"An ancient waterway in China connecting the Yellow River with the Yangtze River, facilitating trade and cultural exchange between regions."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Gunpowder,"First used as an explosive in ancient China and later adopted by various civilizations around the world. It revolutionized warfare, leading to the development of weapons such as cannons and muskets."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Hangzhou,"A city in China known for its rich history and culture, including being one of the Four Great Rivers of ancient China. It is also famous for being the capital of the Sui Dynasty."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Heian,"A time period in Japanese history when there was a strong influence from Chinese culture, characterized by stability and artistic development."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Li Bai,"A renowned Chinese poet during the Tang Dynasty known for his lyrical and introspective poems that celebrated nature, beauty, and the human experience."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Mahayana Buddhism,"A peaceful, philosophical belief system that originated in India, which emphasizes love and compassion towards all living beings and the idea of achieving enlightenment through individual effort rather than relying on religious figures or institutions. It is known as the ""Middle Path"" between extreme beliefs with its teachings influencing various aspects of Eastern culture and philosophy."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Nara,"The ancient Japanese capital city founded by Emperor Jimmu, known for its grand temples and gardens."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Neo-Confucianism,"A philosophy that combines Confucian principles, Buddhism, and Taoism, focusing on moral values, social harmony, and humaneness. It emphasizes personal development, filial piety, and respect for authority figures, as well as the pursuit of wisdom through self-reflection and contemplation."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Nirvana,"A concept or state of perfection, blissful contentment, or spiritual enlightenment."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Porcelain,"A type of delicate, translucent pottery that is often used for decorative purposes and was highly valued during the Renaissance period."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Qing dynasty,"A Chinese dynasty that ruled from 1644 to 1912, known for its cultural achievements and foreign expansion."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Samurai,"Professional warriors who served feudal lords during Japan's medieval period, known for their discipline, loyalty, and specialized skills in combat."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Shinto,"An indigenous religion of Japan based on the belief in kami, or spirits. It is one of the three main religions of Japan, along with Buddhism and Christianity."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Shogun,"Term for the military dictator of Japan during the feudal period, ruling from the mid-12th century until the late 19th century."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Song dynasty,"Spanning from 960-1279 AD, was a period of cultural and technological advancement in East Asia, known for its flourishing art, literature, and advancements in technology."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Song Taizu,"Reigned as Emperor of China from 960-976 AD, was a significant figure in Chinese history and culture known for establishing the Song Dynasty."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Sui dynasty,"A Chinese dynasty that ruled from 618 to 907 CE, known for its advancements in technology and trade, and as the first imperial dynasty of China."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,The Tale of Genji,"An epic Japanese novel written by Murasaki Shikibu, known as one of the earliest works of modern literature and a significant cultural landmark in Japan. It explores themes of love, honor, and social hierarchy during the Heian period."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Tang dynasty,"An imperial dynasty of China that lasted from AD 618 to 907, known for its cultural achievements and economic prosperity."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Tang Taizong,"Also known as Emperor Gaozong of Tang, reigned from 682-705 and is considered one of the greatest emperors in Chinese history. He expanded the empire's territory through military conquests, implemented cultural reforms, and promoted arts and literature. His reign is often referred to as the Golden Age"" of China due to its prosperity and advancements in various fields."""
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Uighurs,"An ethnic group of East Asian origin who reside primarily in Xinjiang, China and form the majority of the region's population."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Wu wei,"A Chinese concept that refers to the practice of effortless action or non-action, achieved through harmonizing mind and body. It involves letting go of unnecessary thoughts and actions, allowing natural flow and spontaneity in one's movements. In essence, it is the art of achieving success without exerting excessive force or energy."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Wu Zhao,A Chinese military general who led his army to victory against a rebel leader named Li Zicheng in the Qing Dynasty.
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Xuanzang,"The famous Buddhist monk who traveled from China to India in search of sacred texts and knowledge during the Tang Dynasty, is celebrated as one of the greatest travelers in history. His journey spanned over two decades and resulted in numerous translations of important works such as the Indian epic Mahabharata and the Tibetan Book of the Dead. His pilgrimage not only enriched his own understanding but also contributed to the spread of Buddhism and cultural exchange between East and West."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Yang Jian,"A Chinese military general, statesman, and warlord who played a key role in establishing the People's Republic of China in 1949. He is also known for his efforts to reunite China after decades of civil war and foreign domination."
Part 1: A Global Tapestry (1200-1450),Chapter 1: The Resurgence of Empire in East Asia,Zhu Xi,"A Chinese philosopher, statesman, calligrapher and poet of the Song Dynasty who greatly influenced Neo-Confucianism in China."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Abbasid dynasty,"An Islamic caliphate established by the Umayyad family, which later became the ruling dynasty of Baghdad."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Abu Bakr,"The first caliph of Islam, succeeding Prophet Muhammad after his death in 632 A.D. He is known for his strong leadership during the early years of Islamic expansion and played a crucial role in unifying the Arab world under Islamic rule."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Al-Andalus,"During the Middle Ages, from 711 to 1492, Islamic rule was established in Iberian Peninsula known as this."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Allah,"The Arabic name of God, worshiped by Muslims worldwide."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Bedouin,"Nomadic people of the Arabian Peninsula who live in tents or other portable shelters and practice herding livestock such as camels, goats, and sheep. They often migrate across regions in search of water and pasture."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Saliph,"Refers to the Arabian Peninsula, which is located mostly within modern-day Saudi Arabia but also includes parts of other countries such as Yemen and Oman. It has played a significant role in world history due to its strategic location and rich resources."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Five Pillars of Islam,"Five sacred acts/obligations that every Muslim is expected to perform as part of their religious practice, which include: 1. Shahada (declaration of faith), 2. Salah (daily prayers), 3. Zakat (charitable giving), 4. Sawm ( fasting during Ramadan), 5. Hajj (pilgrimage to Mecca)."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Hadith,"A Muslim tradition about Prophet Muhammad, which is recorded in the Sunnah of Islam and can be used as a source of guidance."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Hajj,"The annual Islamic pilgrimage to Mecca, where Muslims from around the world gather to perform religious rituals and seek spiritual purification."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Harun al-Rashid,"Was an Umayyad Caliph known for his efficient governance and promotion of Islamic scholarship. He expanded the empire, patronized poets and scholars, and established a centralized bureaucracy."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Hijra,"The historical migration of transvestites from India to Southeast Asia, resulting in the spread of Indian culture and religion. It is also known as the ""Great Trek"" or ""Second Exodus."""
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Ibn Rushd,"Islamic philosopher and scholar who emphasized the importance of reason and logic over religious tradition in his works, such as Al-Ishbirah."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Islam,"A monotheistic religion founded by Prophet Muhammad, which believes in one God (Allah) and emphasizes faith, prayer, fasting, and giving to charity. It has 1.8 billion followers worldwide."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Jihad,"An armed struggle or violent campaign conducted by individuals or groups, particularly in Islam, for political or religious goals."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Jizya,A tax imposed on non-Muslims living under Muslim rule as an act of religious freedom and protection from persecution.
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Kaaba,"A sacred Islamic structure located in Mecca, Saudi Arabia. It is a cube-shaped building surrounded by five minarets and serves as the focal point of the Hajj pilgrimage."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Madrasas,"These are institutions of Islamic education that emerged during the Mughal Empire in South Asia, serving as centers for teaching religious texts and promoting knowledge."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Mecca,"A holy city located in Saudi Arabia, known as the birthplace of Islam and the holiest site for Muslims around the world."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Muhammad,"A prominent figure in Islamic history, known for his teachings and leadership during the early years of Islam."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Muslim,"A person who follows Islam, one of the world's major religions with over 1 billion followers."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Qadis,A method of Islamic law that deals with tax collection by the state.
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Rubaiyat,A collection of romantic poems by the Persian Sufi poet Rumi known for their themes of love spirituality and the interconnectedness of humanity. It is considered one of the greatest works in the Islamic world.
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Sakk,"An ancient city-state located in Southeast Asia, known for its well-preserved temples and intricate architecture."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Sharia,"The Islamic law based on the Quran and the Sunnah of the Prophet Muhammad, which governs all aspects of life, including personal conduct, family matters, criminal justice, and public affairs. It is a complex system that reflects the diversity and richness of Muslim traditions and practices around the world."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Shia,"Religions that believe in one God but differ from Sunni Muslims in terms of political authority and interpretation of Islamic law, often associated with the descendants of Prophet Muhammad's cousin Ali."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Sufi,"A mystical Islamic sect that promotes spiritual purification and union with God through practices such as meditation, music, and dance."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Sunni,"One of two major branches of Islam, originating from the early followers of the prophet Muhammad."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Ulama,"Islamic scholars who hold religious authority within the Muslim community, known for their knowledge of the Quran and Hadith."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Umma,"In Arabic, refers to the community or society of Muslims, consisting of individuals who share common beliefs and practices based on their religion. It is also used to describe the collective identity of people within this social group."
Part 1: A Global Tapestry (1200-1450),Chapter 2: The Expansive Realm of Islam,Umayyad dynasty,"Was one of the major Islamic empires, founded by Mu'awiya I and ruled by his descendants, establishing a strong central authority. (664-750 CE)"
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Angkor,"Refers to the ancient city of Cambodia, known for its impressive temples and rich cultural heritage. It was once a thriving center of trade, religion, and power, but has since been largely destroyed by war and neglect. Today, it stands as a testament to the ingenuity and creativity of the Khmer people."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Axum,"An ancient city-state located on the Red Sea coast of Ethiopia, known for its wealth and influence during the Aksumite Empire (1st century AD)."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Bhakti movement,"Devotional practice in India during medieval period, led by religious figures like Ramananda and Vallabhacharya. It emphasized personal spiritual experience over ritualistic practices."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Caste system,"A social structure based on birth that determines one's roles, rights, and opportunities in a society."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Chola kingdom,"The ancient civilization of India, known for its powerful empire and contributions to art, architecture, and literature."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Dhows,"A long, narrow boat used for transportation on water in ancient times by Arabian people and their trading partners."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Funan,"A powerful kingdom in Southeast Asia, known for its advanced culture and trade during ancient times."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Guru Kabir,"A 16th-century Indian poet, musician, philosopher, and saint known for his devotional songs and mystical teachings."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Harsha,"A 7th century Indian emperor and philosopher, is known for his contributions to Sanskrit grammar and philosophy. He also played a role in spreading Buddhism in India through his support of Buddhist monks and monasteries."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Mahmud of Ghazni,"A powerful Muslim ruler who conquered much of central Asia, including parts of India, during the 11th century. He is known for his military campaigns and establishment of the Delhi Sultanate."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Majapahit,"A powerful kingdom in East Asia during the 15th century, known for its advanced maritime trade and cultural influence on neighboring regions."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Melaka,"An important medieval port city located on the Malay Peninsula, known for its trade and strategic location along the Strait of Malacca. It played a crucial role in connecting Southeast Asia to other regions of the world, making it a hub of cultural exchange and economic activity."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Monsoons,"A seasonal wind that brings heavy rain to specific regions, affecting agriculture and climate."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Ramanuja,"An 11th-century Indian philosopher, theologian, and saint who founded the Vedanta school of Hinduism. He emphasized the importance of devotion to God and rejected the idea that knowledge alone can lead to salvation."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Shankara,An Indian philosopher who developed the Advaita Vedanta school of Hinduism.
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Shiva,"A Hindu deity associated with destruction, transformation, and immortality known for his role as one of the three major gods."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Singosari,"An ancient Indonesian port city located on the island of Java, known for its historical significance and rich cultural heritage. It was a major trading center during the Majapahit kingdom and played a crucial role in connecting various regions through maritime trade. Today, Singosari stands as a symbol of Indonesia's rich history and attracts visitors from around the world."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Srivijaya,"An ancient maritime empire located in Southeast Asia, known for its trading activities and cultural exchange with neighboring regions. It played a significant role in shaping the history of the region and influenced the development of trade routes and civilizations."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Sufis,"Islamic mystics who sought a direct experience of God through spiritual practices and meditation, emphasizing love, peace, and harmony with the divine."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Vijayanagar kingdom,"A medieval empire in Southern India that flourished from 1336 to 1646, known for its art, literature, and architectural achievements, as well as its conflict with the British."
Part 1: A Global Tapestry (1200-1450),Chapter 3: India and the Indian Ocean Basin,Vishnu,"In Hinduism, one of the primary deities, representing preservation and protection. He has different forms known as avatars."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Hagia Sofia,"A historic church-turned-mosque-turned-museum located in Istanbul, Turkey. It was originally built as a Greek Orthodox Christian cathedral in the 6th century but later converted into an Islamic prayer hall during the Ottoman Empire and eventually became a museum in 1935."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Iconoclasm,"The deliberate destruction or alteration of religious, cultural, or artistic icons and symbols."
Part 1: A Global Tapestry (1200-1450),Chapter 4: Eastern and Western Europe in the Early Medieval Period,Justinian,"A Byzantine emperor who ruled from 527-565 AD, known for his efforts to preserve and expand classical Greek and Roman culture through the restoration of many cultural sites."
